,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ticker,Field ID,Field Mnemonic,Data State,2022 Q2,2022 Q1,2021 Q4,2021 Q3,2021 Q2,2021 Q1,2020 Q4,2020 Q3,2020 Q2,2020 Q1,2019 Q4,2019 Q3,2019 Q2,2019 Q1,2018 Q4,2018 Q3,2018 Q2,2018 Q1,2017 Q4,2017 Q3,2017 Q2,2017 Q1,2016 Q4,2016 Q3,2016 Q2,2016 Q1,2015 Q4,2015 Q3,2015 Q2,2015 Q1,2014 Q4,2014 Q3,2014 Q2,2014 Q1,2013 Q4,2013 Q3,2013 Q2,2013 Q1,2012 Q4,2012 Q3,2012 Q2,2012 Q1,2011 Q4,2011 Q3,2011 Q2,2011 Q1,2010 Q4,2010 Q3,2010 Q2,2010 Q1,2009 Q4,2009 Q3,2009 Q2,2009 Q1,2008 Q4,2008 Q3,2008 Q2,2008 Q1,2007 Q4,2007 Q3
Container Rates (USD per FEU) - WCI Freight Rate Composite,WCIDCOMP Index,PX388,INTERVAL_AVG,Dynamic,6160.1843,6855.7359,6993.0906,6938.7992,4206.3509,3736.4071,2366.0156,1714.9324,1292.0384,1289.7431,1063.7595,1120.0095,1050.9614,1215.667,1304.6214,1271.3641,979.2582,1016.4456,938.0898,1129.6113,1148.9137,1314.4065,1145.9778,1010.9387,699.4838,709.4295,628.4341,866.8378,865.2056,1296.2703,1157.9863,1272.8832,1187.4391,1282.6153,1082.893,1296.911,1118.471,1359.0892,1255.8434,1562.2676,1596.8254,1079.5245,856.8742,1030.1412,998.2346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
