07/31/2007,78.21,,,
,,,,
06/29/2007,70.68,,,
05/31/2007,64.01,,,
04/30/2007,65.71,,,
,,,,
03/30/2007,65.87,,,
02/28/2007,61.79,,,
01/31/2007,58.14,,,
,,,,
12/29/2006,61.05,,,
11/30/2006,63.13,,,
10/31/2006,58.73,,,
,,,,
09/29/2006,62.91,,,
08/31/2006,70.26,,,
07/31/2006,74.4,,,
,,,,
06/30/2006,73.93,,,
05/31/2006,71.29,,,
04/28/2006,71.88,,,
,,,,
03/31/2006,66.63,,,
02/28/2006,61.41,,,
01/31/2006,67.92,,,
,,,,
12/30/2005,61.04,,,
11/30/2005,57.32,,,
10/31/2005,59.76,,,
,,,,
09/30/2005,66.24,,,
08/31/2005,68.94,,,
07/29/2005,60.57,,,
,,,,
06/30/2005,56.5,,,
05/31/2005,51.97,,,
04/29/2005,49.72,,,
,,,,
03/31/2005,55.4,,,
02/28/2005,51.75,,,
01/31/2005,48.2,,,
,,,,
12/31/2004,43.45,,,
11/30/2004,49.13,,,
10/29/2004,51.76,,,
,,,,
09/30/2004,49.64,,,
08/31/2004,42.12,,,
07/30/2004,43.8,,,
,,,,
06/30/2004,37.05,,,
05/31/2004,39.88,,,
04/30/2004,37.38,,,
,,,,
03/31/2004,35.76,,,
02/27/2004,36.16,,,
01/30/2004,33.05,,,
,,,,
12/31/2003,32.52,,,
11/28/2003,30.41,,,
10/31/2003,29.11,,,
,,,,
09/30/2003,29.2,,,
08/29/2003,31.57,,,
07/31/2003,30.54,,,
,,,,
06/30/2003,30.19,,,
05/30/2003,29.56,,,
04/30/2003,25.8,,,
,,,,
03/31/2003,31.04,,,
02/28/2003,36.6,,,
01/31/2003,33.51,,,
,,,,
12/31/2002,31.2,,,
11/29/2002,26.89,,,
10/31/2002,27.22,,,
,,,,
09/30/2002,30.45,,,
08/30/2002,28.98,,,
07/31/2002,27.02,,,
,,,,
06/28/2002,26.86,,,
05/31/2002,25.31,,,
04/30/2002,27.29,,,
,,,,
03/29/2002,26.31,,,
02/28/2002,21.74,,,
01/31/2002,19.48,,,
,,,,
12/31/2001,19.84,,,
11/30/2001,19.44,,,
10/31/2001,21.18,,,
,,,,
09/28/2001,23.43,,,
08/31/2001,27.2,,,
07/31/2001,26.35,,,
,,,,
06/29/2001,26.25,,,
05/31/2001,28.37,,,
04/30/2001,28.46,,,
,,,,
03/30/2001,26.29,,,
02/28/2001,27.39,,,
01/31/2001,28.66,,,
,,,,
12/29/2000,26.8,,,
11/30/2000,33.82,,,
10/31/2000,32.7,,,
,,,,
09/29/2000,30.84,,,
08/31/2000,33.12,,,
07/31/2000,27.43,,,
,,,,
06/30/2000,32.5,,,
05/31/2000,29.01,,,
04/28/2000,25.74,,,
,,,,
03/31/2000,26.9,,,
02/29/2000,30.43,,,
01/31/2000,27.64,,,
,,,,
12/31/1999,25.6,,,
11/30/1999,24.59,,,
10/29/1999,21.75,,,
,,,,
09/30/1999,24.51,,,
08/31/1999,22.11,,,
07/30/1999,20.53,,,
,,,,
06/30/1999,19.29,,,
05/31/1999,16.84,,,
04/30/1999,18.66,,,
,,,,
03/31/1999,16.76,,,
02/26/1999,12.27,,,
01/29/1999,12.75,,,
,,,,
12/31/1998,12.05,,,
11/30/1998,11.22,,,
10/30/1998,14.42,,,
,,,,
09/30/1998,16.14,,,
08/31/1998,13.34,,,
07/31/1998,14.21,,,
,,,,
06/30/1998,14.18,,,
05/29/1998,15.2,,,
04/30/1998,15.39,,,
,,,,
03/31/1998,15.61,,,
02/27/1998,15.44,,,
01/30/1998,17.21,,,
,,,,
12/31/1997,17.64,,,
11/28/1997,19.15,,,
10/31/1997,21.08,,,
,,,,
09/30/1997,21.18,,,
08/29/1997,19.61,,,
07/31/1997,20.14,,,
,,,,
06/30/1997,19.8,,,
05/30/1997,20.88,,,
04/30/1997,20.21,,,
