,BCOMIN Index,,,
,#NAME?,#NAME?,#NAME?,#NAME?
Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
#NAME?,81.31,81.31,81.307,81.3074
04/01/2000,80.36,80.65,79.94,80.1822
05/01/2000,80.18,80.86,79.46,80.7709
06/01/2000,80.2,80.84,80.2,80.6783
07/01/2000,80.68,81.18,80.42,80.7415
10/01/2000,80.41,80.75,79.77,80.0735
11/01/2000,80.18,80.43,79.64,79.8283
12/01/2000,80.12,81.4,80.12,81.0555
13/01/2000,81.04,81.12,80.35,80.3933
14/01/2000,80.45,80.96,80.45,80.9193
18/01/2000,80.96,82.15,80.71,82.0712
19/01/2000,82.77,83.48,82.42,83.3951
20/01/2000,82.93,83.39,82.02,82.7052
21/01/2000,82.54,83.17,82.13,82.5525
24/01/2000,82.11,82.14,81.42,81.5024
25/01/2000,81.69,81.96,80.6,80.822
26/01/2000,81.7,81.87,80.35,80.6968
27/01/2000,80.47,81.03,80.14,80.8372
28/01/2000,81.27,81.68,80.33,80.5615
31/01/2000,80.29,81.24,80.25,81.2164
01/02/2000,81.3,81.66,80.8,81.0542
02/02/2000,80.99,80.99,79.21,79.7881
03/02/2000,80.09,80.29,79.57,80.1904
04/02/2000,79.2,80.25,79.2,80.0825
07/02/2000,80.25,80.28,79.72,79.9515
08/02/2000,79.99,79.99,79.16,79.3538
09/02/2000,79.78,80.05,79.58,79.7708
10/02/2000,80.4,81.68,80.37,81.5569
11/02/2000,82.07,82.21,81.6,81.6475
14/02/2000,81.03,81.48,80.94,81.4247
15/02/2000,81.14,81.39,79.88,80.1637
16/02/2000,79.74,80.18,79.63,80.0552
17/02/2000,80.32,80.72,79.95,80.6722
18/02/2000,80.75,81.01,80.51,80.5761
22/02/2000,80.13,80.78,80.13,80.6943
23/02/2000,80.76,81.48,80.76,81.2432
24/02/2000,81.58,81.8,81.01,81.1765
25/02/2000,80.92,81.02,80.07,80.2194
28/02/2000,78.9,78.94,76.97,77.1529
29/02/2000,77.78,77.98,76.58,77.4119
01/03/2000,78.4,79.47,78.03,79.3101
02/03/2000,78.67,78.93,78.33,78.6578
03/03/2000,78.63,78.94,77.76,78.8462
06/03/2000,78.54,79.27,78.41,79.184
07/03/2000,79.61,79.79,78.53,78.6559
08/03/2000,77.99,78.3,77.64,78.0131
09/03/2000,78.67,78.95,78.32,78.9086
10/03/2000,79,79.42,78.6,78.6994
13/03/2000,78.43,78.49,77.88,78.0869
14/03/2000,78.59,79.27,78.58,78.7809
15/03/2000,79,79.29,78.64,79.0876
16/03/2000,79.29,79.92,78.92,79.6752
17/03/2000,79.5,80.92,79.5,79.8895
20/03/2000,79.76,80.16,79.34,79.4431
21/03/2000,79.64,79.82,79.08,79.5965
22/03/2000,79.84,79.97,78.85,79.0615
23/03/2000,79.05,79.32,78.76,79.1995
24/03/2000,79.32,79.36,78.56,78.7821
27/03/2000,77.81,78.46,77.52,78.1389
28/03/2000,78.13,78.33,77.97,78.2866
29/03/2000,77.78,78.23,77.76,78.2031
30/03/2000,78.01,78.45,77.99,78.2109
31/03/2000,77.49,77.95,77.28,77.7022
03/04/2000,77.13,77.19,76.53,77.0778
04/04/2000,76.35,76.54,75.73,76.1526
05/04/2000,76.05,76.57,75.95,76.148
06/04/2000,75.44,75.44,74.3,74.4451
07/04/2000,74.18,74.33,73.68,74.1619
10/04/2000,74.61,75.2,74.21,75.1236
11/04/2000,75.4,76.09,75.32,75.9602
12/04/2000,75.52,75.86,75.18,75.7314
13/04/2000,75.06,75.46,75.01,75.2157
14/04/2000,74.42,74.44,73.44,73.5512
17/04/2000,72.51,73.47,72.51,73.1471
18/04/2000,74.07,74.4,73.63,74.2102
19/04/2000,74.57,75.09,74.41,74.741
20/04/2000,74.02,74.71,74,74.4649
24/04/2000,74.46,74.465,74.46,74.4649
25/04/2000,74.52,75.92,74.52,75.7972
26/04/2000,76.03,76.7,76.03,76.3455
27/04/2000,75.98,76.18,75.38,75.8066
28/04/2000,76.13,76.72,75.92,76.1786
01/05/2000,75.95,76.38,75.95,76.339
02/05/2000,76.05,77.7,75.99,77.4736
03/05/2000,77.22,77.39,76.26,76.538
04/05/2000,76.19,76.78,76.15,76.619
05/05/2000,77.63,77.96,77.4,77.732
08/05/2000,77.37,77.81,77.13,77.2319
09/05/2000,76.77,77.52,76.59,77.238
10/05/2000,77.78,78.08,77,77.2457
11/05/2000,76.69,77.24,76.69,77.0067
12/05/2000,78.15,78.23,77.83,78.0692
15/05/2000,78.2,78.58,78.13,78.3181
16/05/2000,79.08,79.79,79.08,79.6763
17/05/2000,79.74,79.96,79.09,79.2611
18/05/2000,79.6,80.03,79.21,79.282
19/05/2000,79.08,79.27,78.55,79.0539
22/05/2000,79.15,79.18,78.21,78.5102
23/05/2000,78.8,79.03,78.53,78.6929
24/05/2000,78.32,79.23,78.29,78.8462
25/05/2000,78.33,78.51,77.88,78.0416
26/05/2000,78.08,78.26,77.83,78.099
30/05/2000,76.55,76.58,74.84,75.1285
31/05/2000,75.06,75.44,74.49,75.2397
01/06/2000,74.86,75.63,74.81,75.3389
02/06/2000,76.11,76.47,73.95,74.0447
05/06/2000,73.8,74.49,73.61,74.4163
06/06/2000,74.76,75.15,74.33,74.4311
07/06/2000,73.9,74.08,72.47,72.9244
08/06/2000,73.27,73.86,72.95,73.8567
09/06/2000,73.72,74.04,73.39,73.9524
12/06/2000,73.69,73.78,72.49,72.8956
13/06/2000,73.09,74.08,73.09,73.923
14/06/2000,74.23,74.59,73.88,74.4482
15/06/2000,75.46,76.14,74.69,75.9482
16/06/2000,75.99,76.52,75.62,76.2176
19/06/2000,76.1,76.67,75.69,76.3725
20/06/2000,75.89,76.28,75.12,75.3123
21/06/2000,75.14,75.98,74.87,75.915
22/06/2000,75.91,76.53,75.42,75.9119
23/06/2000,75.52,75.69,74.83,75.1082
26/06/2000,75.78,76.51,75.57,76.4573
27/06/2000,76.89,77,75.74,75.9844
28/06/2000,76.68,76.82,76.22,76.5237
29/06/2000,75.89,76.22,75.77,75.9369
30/06/2000,76.31,76.48,76.25,76.2545
05/07/2000,76.29,76.55,76.29,76.4026
06/07/2000,76.21,76.24,75.7,75.7018
07/07/2000,75.56,75.76,75.56,75.6612
10/07/2000,75.64,76.18,75.64,76.0617
11/07/2000,76.61,76.91,76.61,76.8632
12/07/2000,76.46,77.38,76.46,77.0542
13/07/2000,76.97,77.04,76.828,76.8279
14/07/2000,76.37,76.73,76.37,76.4336
17/07/2000,76.45,77.51,76.45,77.3127
18/07/2000,77.64,77.97,77.64,77.646
19/07/2000,77.66,78.19,77.617,77.6165
20/07/2000,77.36,77.71,77.36,77.661
21/07/2000,78.18,78.46,78.18,78.1869
24/07/2000,78.43,78.74,78.43,78.4782
25/07/2000,78.32,78.6,78.32,78.3504
26/07/2000,78.23,78.23,77.36,77.3596
27/07/2000,77.05,78.02,77.05,77.7941
28/07/2000,77.9,78,77.536,77.5361
31/07/2000,77.12,77.86,77.12,77.8263
01/08/2000,77.27,77.81,77.27,77.5992
02/08/2000,77.58,78.19,77.48,77.4817
03/08/2000,77.2,77.33,77.04,77.0417
04/08/2000,76.58,77.26,76.58,77.1895
07/08/2000,77.03,77.21,77.03,77.0472
08/08/2000,77.1,77.16,76.42,76.4207
09/08/2000,76.36,76.94,76.36,76.5696
10/08/2000,76.53,76.63,76.488,76.4876
11/08/2000,76.62,77,76.56,76.5598
14/08/2000,76.56,77.35,76.56,77.3323
15/08/2000,77.66,78.03,77.66,77.7881
16/08/2000,77.65,77.86,77.36,77.3645
17/08/2000,77.34,77.68,77.34,77.6775
18/08/2000,77.77,77.77,77.477,77.4775
21/08/2000,76.93,77.06,76.93,76.975
22/08/2000,77.04,77.95,77.04,77.8987
23/08/2000,77.99,78.27,77.85,77.854
24/08/2000,78.03,78.28,78.03,78.0821
25/08/2000,78.01,78.15,78.01,78.072
28/08/2000,77.95,78.18,77.95,77.9724
29/08/2000,78.29,79.46,78.29,79.4092
30/08/2000,79.89,80.19,79.89,80.0736
31/08/2000,80.06,80.2,79.85,79.8526
01/09/2000,80.1,80.2,79.866,79.866
05/09/2000,80.52,81.14,80.52,80.8985
06/09/2000,81.01,81.5,81.01,81.0272
07/09/2000,81.07,81.67,81.07,81.1953
08/09/2000,82.15,82.49,81.91,81.9134
11/09/2000,81.98,81.98,81.73,81.7321
12/09/2000,81.8,83.15,81.8,82.8641
13/09/2000,83.18,83.18,82.68,82.6835
14/09/2000,83,83.01,82.35,82.3521
15/09/2000,82.11,82.16,81.34,81.7914
18/09/2000,81.66,82.06,81.34,81.5231
19/09/2000,81.47,81.57,80.89,81.3813
20/09/2000,80.69,81.04,79.86,80.2288
21/09/2000,80.05,81.55,80.05,81.3583
22/09/2000,81.28,81.61,81.06,81.4122
25/09/2000,81.2,82.1,81.17,81.9223
26/09/2000,81.74,82.08,80.79,81.006
27/09/2000,80.67,81.29,80.55,81.0194
28/09/2000,81.02,81.02,80.26,80.5834
29/09/2000,80.63,80.95,80.5,80.5328
02/10/2000,80.27,80.35,78.75,78.8331
03/10/2000,77.92,78.87,77.81,78.8117
04/10/2000,78.37,78.61,78.05,78.4935
05/10/2000,78.31,79.41,78.31,79.2405
06/10/2000,78.81,78.84,78.39,78.6027
09/10/2000,78.05,78.05,77.16,77.4625
10/10/2000,77.65,78.26,77.65,78.1707
11/10/2000,78.01,78.16,77.04,77.9442
12/10/2000,77.89,77.98,76.61,76.6895
13/10/2000,76.67,77.67,76.52,77.4434
16/10/2000,77.14,77.25,76.36,76.6649
17/10/2000,75.81,75.86,75.16,75.4735
18/10/2000,75.39,75.45,74.67,75.0941
19/10/2000,74.89,75.67,74.89,75.4187
20/10/2000,75.14,75.42,74.66,74.9687
23/10/2000,74.88,75.41,74.82,75.2185
24/10/2000,75.76,75.78,75,75.1926
25/10/2000,74.92,74.92,73.98,74.128
26/10/2000,73.84,73.86,72.4,72.4494
27/10/2000,72.96,73.47,72.12,73.2793
30/10/2000,73.51,73.57,73.1,73.5368
31/10/2000,74.02,74.83,74.02,74.2191
01/11/2000,74.29,74.4,73.5,73.5957
02/11/2000,73.78,74.13,73.6,73.8821
03/11/2000,74.47,74.95,74.02,74.2045
06/11/2000,74.29,74.33,73.26,73.5014
07/11/2000,73.72,74.18,73.45,73.7532
08/11/2000,74.12,74.48,73.86,74.4113
09/11/2000,74.06,74.53,73.93,74.2546
10/11/2000,74.12,74.32,73.38,73.7126
13/11/2000,73.08,73.08,72.34,72.4855
14/11/2000,72.98,73.52,72.97,73.4449
15/11/2000,73.39,73.67,72.93,73.3285
16/11/2000,73.16,73.16,72.46,72.4772
17/11/2000,72.38,73.04,72.25,72.7555
20/11/2000,72.47,72.89,72.17,72.7959
21/11/2000,72.97,73.54,72.54,73.3279
22/11/2000,73.01,73.1,72.45,73.0526
27/11/2000,74.35,75.08,74.35,74.8176
28/11/2000,75.02,75.35,75.02,75.2096
29/11/2000,75.11,75.58,74.84,74.9737
30/11/2000,74.5,75.05,73.82,74.2632
01/12/2000,74.43,75.0114,74.21,75.0114
04/12/2000,74.94,75.42,74.94,75.1321
05/12/2000,75.07,75.73,74.85,75.5505
06/12/2000,75.63,76.22,75.54,76.0469
07/12/2000,76.65,77.19,76.56,77.1418
08/12/2000,77.9,78.3,77.77,77.957
11/12/2000,78.72,79.07,78.2,78.3887
12/12/2000,77.93,78.1,77.29,77.586
13/12/2000,77.12,77.36,76.92,77.163
14/12/2000,77.24,78.04,77.04,77.8239
15/12/2000,78.15,78.18,76.25,76.9372
18/12/2000,76.94,76.94,76.2,76.671
19/12/2000,76.41,76.65,76,76.5151
20/12/2000,75.58,75.82,74.61,75.3658
21/12/2000,74.51,75.17,73.98,74.9887
22/12/2000,74.77,75.35,74.75,75.2243
26/12/2000,75.23,75.53,75.21,75.4643
27/12/2000,75.07,75.08,74.24,74.5404
28/12/2000,74.75,74.95,74.5,74.8379
29/12/2000,74.49,74.63,74.31,74.54
02/01/2001,74.24,74.26,72.74,72.7612
03/01/2001,72.26,72.83,71.51,71.7788
04/01/2001,72.79,72.87,71.6,71.8238
05/01/2001,72.2,72.65,71.63,72.4664
08/01/2001,72.46,73.88,72.04,73.6165
09/01/2001,73.81,74.03,73.25,73.4553
10/01/2001,73.62,74.14,73.49,73.8346
11/01/2001,74.08,74.37,73.99,74.2272
12/01/2001,74.58,75.09,74.33,75.0646
16/01/2001,74.02,74.11,73.17,73.4703
17/01/2001,73.75,74.47,73.44,74.3197
18/01/2001,74.9,76.05,74.57,75.9879
19/01/2001,75.69,75.92,75.14,75.3044
22/01/2001,75.49,75.74,75.21,75.4136
23/01/2001,75.85,76.12,75.36,75.5616
24/01/2001,74.99,75.1,74.27,74.9001
25/01/2001,75.11,75.39,74.61,75.1365
26/01/2001,75.51,75.63,74.94,75.3013
29/01/2001,75.45,75.46,74.98,75.1616
30/01/2001,75.22,76.05,74.97,75.8558
31/01/2001,76.28,76.67,75.75,75.9267
01/02/2001,75.46,75.61,75.08,75.4086
02/02/2001,74.88,75.31,74.64,75.2429
05/02/2001,74.78,75.26,74.31,74.4011
06/02/2001,74.4,74.62,74.05,74.4402
07/02/2001,74.45,74.61,74.23,74.3525
08/02/2001,74.33,74.86,74.26,74.8028
09/02/2001,74.68,74.68,73.21,73.6502
12/02/2001,73.46,73.79,73.41,73.5974
13/02/2001,73.57,74.23,73.48,74.036
14/02/2001,73.46,73.88,73.39,73.6853
15/02/2001,73.68,74.2,73.68,74.0064
16/02/2001,74.13,74.2004,73.76,74.2004
20/02/2001,73.99,74.15,73.69,73.6917
21/02/2001,73.44,73.44,72.17,72.5437
22/02/2001,72.34,72.35,71.92,71.9972
23/02/2001,72.1,72.1,71.41,71.679
26/02/2001,72.01,73.01,71.86,72.9085
27/02/2001,72.89,72.94,72.37,72.7728
28/02/2001,72.46,73.54,72.46,73.2996
01/03/2001,73.51,74.3,73.49,73.552
02/03/2001,73.58,73.81,73.32,73.7452
05/03/2001,73.34,74.35,73.34,74.1144
06/03/2001,74.5,74.9,74.43,74.5916
07/03/2001,74.12,74.52,73.54,73.6999
08/03/2001,73.24,73.55,72.74,72.7843
09/03/2001,72.75,73.25,72.75,73.1465
12/03/2001,72.81,73,72.56,72.8687
13/03/2001,72.14,72.49,72.01,72.49
14/03/2001,71.72,72.12,71.43,72.0864
15/03/2001,71.52,72,71.52,71.7908
16/03/2001,71.32,71.33,70.22,70.4281
19/03/2001,70.64,71.2,70.54,71.0844
20/03/2001,71.25,71.47,71.2,71.2472
21/03/2001,70.62,71.25,70.6,70.9855
22/03/2001,70.62,70.84,70.26,70.4242
23/03/2001,70.87,70.92,70.51,70.6553
26/03/2001,70.48,70.79,69.82,69.8934
27/03/2001,70.22,70.96,70.11,70.7714
28/03/2001,70.1,70.13,69.54,69.5401
29/03/2001,69.33,69.96,69.04,69.817
30/03/2001,69.16,69.26,68.65,68.9111
02/04/2001,68.65,69.11,68.49,68.7718
03/04/2001,68.81,69.16,68.47,68.9687
04/04/2001,69.36,69.66,69.09,69.3376
05/04/2001,69.49,70.03,69.41,69.7326
06/04/2001,69.61,69.61,68.33,68.4982
09/04/2001,68.5,69.41,68.5,69.327
10/04/2001,70.47,70.77,69.98,70.2855
11/04/2001,70.67,70.72,69.85,69.8594
12/04/2001,69.85,70.34,69.61,70.1401
16/04/2001,70.21,70.4,70.17,70.1755
17/04/2001,69.9,70.16,69.78,70.0654
18/04/2001,70.18,71.5,70.18,71.0836
19/04/2001,70.7,70.84,70.42,70.5542
20/04/2001,71.32,71.32,70.77,70.9528
23/04/2001,70.58,70.58,69.78,70.0063
24/04/2001,69.81,70.32,69.79,69.9634
25/04/2001,70.05,70.94,70.02,70.7384
26/04/2001,71.22,71.35,70.55,70.6561
27/04/2001,70.46,70.91,70.32,70.5959
30/04/2001,70.31,71.09,70.08,70.9887
01/05/2001,71.37,71.4,70.95,71.3519
02/05/2001,71.42,72.35,71.28,72.1964
03/05/2001,72.42,72.5,71.38,72.1093
04/05/2001,71.75,72.07,71.22,71.4788
07/05/2001,71.61,71.79,71.51,71.5142
08/05/2001,71.33,71.46,70.61,70.679
09/05/2001,70.35,70.68,70.17,70.4907
10/05/2001,70.82,71.05,70.1,70.3063
11/05/2001,70.46,71.51,70.46,71.3601
14/05/2001,70.51,70.64,70.14,70.3932
15/05/2001,70.56,71.08,70.43,70.4525
16/05/2001,70.25,71.14,70.03,71.0152
17/05/2001,71.18,71.74,70.55,71.4599
18/05/2001,71.83,72.47,71.68,72.2931
21/05/2001,72.6,73.1,72.49,72.8844
22/05/2001,72.4,72.66,72.03,72.0541
23/05/2001,71.67,71.99,71.46,71.7801
24/05/2001,72.28,72.75,72.12,72.2562
25/05/2001,71.81,72.25,71.68,72.1943
29/05/2001,71,71.31,70.54,70.6357
30/05/2001,70.56,70.94,70.45,70.5484
31/05/2001,70.11,70.44,69.71,69.8542
01/06/2001,69.89,70,69.52,69.6579
04/06/2001,69.54,69.64,69.23,69.5866
05/06/2001,69.93,70.3422,69.79,70.3422
06/06/2001,70.42,70.52,69.96,70.0871
07/06/2001,69.64,69.93,69.43,69.6482
08/06/2001,68.54,69.22,68.52,68.7336
11/06/2001,68.54,68.71,66.86,68.4349
12/06/2001,68.43,68.43,67.76,68.17
13/06/2001,67.75,68.07,67.71,67.8676
14/06/2001,67.95,68.51,67.78,68.2659
15/06/2001,67.99,68.14,67.45,67.5374
18/06/2001,67.12,67.64,67.08,67.4131
19/06/2001,67.41,67.8,67.4,67.621
20/06/2001,66.73,67.07,66.46,66.577
21/06/2001,66.34,66.71,66.06,66.5481
22/06/2001,66.63,66.79,66.34,66.4319
25/06/2001,66.16,66.44,66.13,66.2952
26/06/2001,66.01,66.69,65.94,66.6016
27/06/2001,66.55,67.06,66.55,66.8555
28/06/2001,66.17,66.3,65.66,65.74
29/06/2001,65.36,65.83,65.24,65.5896
02/07/2001,65.11,66.14,65.11,66.0225
03/07/2001,65.85,65.9,65.39,65.3932
05/07/2001,65.18,65.28,64.6,64.7611
06/07/2001,64.92,65.4,64.91,65.1235
09/07/2001,64.84,65.04,64.71,64.734
10/07/2001,65.01,65.59,65.01,65.3442
11/07/2001,65.31,65.46,65.08,65.1549
12/07/2001,65.04,65.19,64.8257,64.8257
13/07/2001,64.63,65,64.45,64.5819
16/07/2001,64.63,64.69,64.44,64.489
17/07/2001,64.35,65.32,64.35,65.1976
18/07/2001,65.24,65.46,64.44,64.6766
19/07/2001,64.55,64.55,63.93,63.9923
20/07/2001,63.85,64.31,63.85,64.0859
23/07/2001,63.83,63.84,63.29,63.3757
24/07/2001,63.61,63.75,63.04,63.1385
25/07/2001,62.53,62.87,62.21,62.5863
26/07/2001,62.52,62.82,62.31,62.7971
27/07/2001,62.81,63.07,62.38,62.5757
30/07/2001,62.31,62.68,62.22,62.4139
31/07/2001,62.22,62.74,62.05,62.4965
01/08/2001,61.92,62.69,61.7,62.4196
02/08/2001,62.75,62.99,62.27,62.3123
03/08/2001,62.17,62.24,61.9,62.0856
06/08/2001,61.83,61.87,61.5,61.5368
07/08/2001,61.09,61.39,61.04,61.2173
08/08/2001,60.65,60.75,60.33,60.4407
09/08/2001,60.3,61.09,60.27,60.6902
10/08/2001,60.75,61.08,60.51,60.5629
13/08/2001,60.39,60.73,60.03,60.0996
14/08/2001,60.13,61.11,60.13,60.8838
15/08/2001,61.2,61.4,60.68,60.8347
16/08/2001,60.99,61.68,59.3,61.4895
17/08/2001,62.31,63.03,62.1,62.7891
20/08/2001,62.75,62.77,61.87,61.9552
21/08/2001,61.48,63.15,61.11,61.3655
22/08/2001,61.9,62.22,61.72,62.0634
23/08/2001,62.4,62.7,62.22,62.3586
24/08/2001,62.5,62.79,62.39,62.4337
27/08/2001,62.44,62.93,62.44,62.8487
28/08/2001,62.86,62.86,62.2,62.3464
29/08/2001,62.38,62.79,62.17,62.6299
30/08/2001,62.06,62.15,61.37,61.5236
31/08/2001,61.51,61.93,61.47,61.4975
04/09/2001,60.78,61.06,60.42,60.9719
05/09/2001,60.56,60.8,60.45,60.6776
06/09/2001,60.01,60.07,59.59,59.7477
07/09/2001,59.61,59.62,59.15,59.1653
10/09/2001,58.84,59.244,58.84,59.2444
17/09/2001,59.71,59.71,59.02,59.0224
18/09/2001,59.5,59.64,59.09,59.1478
19/09/2001,59.4,59.4,58.29,58.408
20/09/2001,58.86,58.86,57.88,58.111
21/09/2001,58.05,58.65,57.74,58.4588
24/09/2001,57.79,58.23,57.79,58.043
25/09/2001,58,58.14,57.72,57.7956
26/09/2001,57.92,58.19,57.92,58.119
27/09/2001,58.17,58.29,57.94,58.1166
28/09/2001,57.95,58.06,57.62,57.6336
01/10/2001,58,58,57.26,57.6675
02/10/2001,57.43,57.79,57.43,57.5908
03/10/2001,57.58,57.58,56.85,57.0768
04/10/2001,57.12,57.27,56.98,57.0213
05/10/2001,57.27,57.27,56.49,56.7645
08/10/2001,56.59,57.29,56.59,57.243
09/10/2001,57.09,57.26,56.67,57.0791
10/10/2001,56.71,57.05,56.63,56.8832
11/10/2001,56.99,57.19,56.83,57.0641
12/10/2001,56.89,57.91,56.89,57.4257
15/10/2001,57.48,57.48,56.87,56.915
16/10/2001,57.1,57.45,56.89,57.1659
17/10/2001,56.89,57.51,56.89,57.0699
18/10/2001,57.43,57.43,55.67,56.0634
19/10/2001,56.37,56.37,55.09,55.1523
22/10/2001,55.55,55.55,54.99,55.1806
23/10/2001,55,56.57,55,55.6558
24/10/2001,55.53,55.53,54.95,55.041
25/10/2001,55.37,55.5,55,55.16
26/10/2001,55.08,56.04,55.08,55.7826
29/10/2001,55.74,55.74,55.14,55.4323
30/10/2001,55.46,55.78,55.2,55.6842
31/10/2001,55.32,55.43,54.75,54.9045
01/11/2001,55.18,55.21,54.63,54.8217
02/11/2001,55.05,55.05,54.12,54.154
05/11/2001,54.63,54.65,54.13,54.5399
06/11/2001,54.22,54.86,54.22,54.412
07/11/2001,54.81,54.81,53.79,53.9029
08/11/2001,53.96,54.86,53.96,54.4886
09/11/2001,54.12,56.61,54.12,56.6007
12/11/2001,54.49,58.38,54.49,58.3266
13/11/2001,56.78,60.81,56.78,60.5248
14/11/2001,58.22,61.99,58.22,60.2213
15/11/2001,60.78,60.78,59.09,59.5233
16/11/2001,59.44,60.74,59.23,60.5674
19/11/2001,60.44,61.07,60.03,60.1333
20/11/2001,61.07,61.07,59.34,59.5018
21/11/2001,59.34,59.88,59.34,59.5575
26/11/2001,59.56,60.7,59.56,60.2733
27/11/2001,60.24,61.96,60.24,61.0928
28/11/2001,61.89,61.89,60.36,61.0872
29/11/2001,60.53,62.44,60.53,62.2471
30/11/2001,61.28,62.71,61.28,62.6748
03/12/2001,61.59,62.26,60.71,61.0508
04/12/2001,61.97,61.97,60.25,60.6079
05/12/2001,60.29,60.95,59.37,60.5707
06/12/2001,59.8,61.02,59.78,59.9136
07/12/2001,60.71,60.71,58.63,58.7935
10/12/2001,59.89,59.89,58,58.2073
11/12/2001,58.27,58.88,58.27,58.7174
12/12/2001,58.36,58.36,57.78,57.956
13/12/2001,58.2,58.2,57.48,57.8448
14/12/2001,57.6,58.05,57.39,57.7901
17/12/2001,57.47,58.55,57.47,58.3989
18/12/2001,57.55,59.69,57.55,59.5122
19/12/2001,58.77,59.32,58.61,59.0485
20/12/2001,59.25,59.25,58.63,58.9978
21/12/2001,59.12,59.8,58.8,59.7067
26/12/2001,58.88,60.07,58.88,59.9455
27/12/2001,59.75,59.75,59.44,59.4406
28/12/2001,59.75,59.75,58.96,59.1444
31/12/2001,59.17,59.24,58.51,58.5132
02/01/2002,59.22,59.22,58.02,58.1569
03/01/2002,58.52,58.82,58.07,58.6589
04/01/2002,58.07,59.67,58.07,59.5222
07/01/2002,59.28,62.91,59.28,62.7113
08/01/2002,61.02,62.98,61.02,62.215
09/01/2002,62.64,63.07,62.23,62.6558
10/01/2002,62.29,62.31,61.31,61.4719
11/01/2002,62.31,62.31,61.18,61.5886
14/01/2002,61.51,62.34,61.42,61.9978
15/01/2002,62.03,62.03,61.17,61.2419
16/01/2002,61.46,62.15,60.87,61.9577
17/01/2002,60.9,61.84,60.9,61.2935
18/01/2002,61.54,61.54,60.6,60.6585
22/01/2002,60.97,60.97,60.03,60.7077
23/01/2002,60.19,61.63,60.19,61.4461
24/01/2002,60.55,62.12,60.55,61.9542
25/01/2002,61.32,62.12,60.92,61.1734
28/01/2002,61.59,61.59,60.21,60.2758
29/01/2002,60.75,60.75,59.95,60.1752
30/01/2002,60.08,60.45,58.38,60.3056
31/01/2002,60.06,62.47,60.06,61.8779
01/02/2002,60.62,62.64,60.62,62.2874
04/02/2002,62.07,62.63,61.77,61.8207
05/02/2002,62.32,62.42,61.91,62.2682
06/02/2002,61.91,62.19,61.66,61.7256
07/02/2002,62.15,62.15,61.42,61.8944
08/02/2002,61.58,62.17,61.58,61.8752
11/02/2002,61.87,61.87,61.13,61.2151
12/02/2002,61.58,61.8,61.36,61.6483
13/02/2002,61.36,62.88,61.36,62.817
14/02/2002,61.96,62.83,61.96,62.2464
15/02/2002,62.83,62.83,61.66,61.7124
19/02/2002,62.2,62.2,60.31,60.4072
20/02/2002,60.69,60.94,60.17,60.8122
21/02/2002,60.48,61.22,60.48,61.0978
22/02/2002,61.1,61.1,60.205,60.2052
25/02/2002,60.51,60.69,60.12,60.5651
26/02/2002,60.12,60.98,60.12,60.5834
27/02/2002,60.96,62.06,60.7,61.8407
28/02/2002,60.81,62.08,60.81,61.6934
01/03/2002,61.43,62.46,61.1,62.4028
04/03/2002,61.1,63.55,61.1,63.251
05/03/2002,63.13,63.3,62.84,62.9158
06/03/2002,62.99,63.6,62.99,63.4091
07/03/2002,63.06,64.6,63.06,63.8893
08/03/2002,63.87,64.36,63.77,64.0023
11/03/2002,64.36,64.39,63.88,63.8804
12/03/2002,64.26,64.26,63.39,63.4888
13/03/2002,63.48,63.71,63.2,63.2456
14/03/2002,63.63,64.03,63.21,63.8088
15/03/2002,63.23,64.44,63.23,64.2601
18/03/2002,64.19,65.28,64.19,64.8855
19/03/2002,64.71,65.52,64.71,65.329
20/03/2002,65.08,65.61,65.08,65.3353
21/03/2002,65.58,65.58,64.42,64.5226
22/03/2002,63.46,64.07,63.26,63.2786
25/03/2002,64.86,64.86,62.73,62.7332
26/03/2002,63.02,63.68,63.02,63.3379
27/03/2002,63.22,63.85,63.22,63.5719
28/03/2002,63.55,64.14,63.55,64.0688
01/04/2002,63.62,64.17,63.62,64.101
02/04/2002,64.14,64.74,64.14,64.4079
03/04/2002,64.4,64.4,63.23,63.2448
04/04/2002,63.84,63.84,62.76,62.8277
05/04/2002,63.28,63.28,61.79,62.0811
08/04/2002,62.96,62.96,61.54,61.9111
09/04/2002,61.98,62.61,61.98,62.4135
10/04/2002,62.15,62.35,61.88,62.1545
11/04/2002,62.28,62.62,62.15,62.1704
12/04/2002,62.55,62.55,61.7,61.8698
15/04/2002,62.09,62.35,61.54,62.0042
16/04/2002,62.02,63.11,62.02,62.9128
17/04/2002,62.21,63.85,62.21,63.6616
18/04/2002,63.03,63.7,62.8,62.9141
19/04/2002,63.42,63.69,62.82,63.3029
22/04/2002,62.93,64.23,62.93,63.8737
23/04/2002,63.87,63.88,63.16,63.2178
24/04/2002,63.81,63.81,63.06,63.4096
25/04/2002,63.11,63.44,62.9,63.022
26/04/2002,62.92,63.51,62.91,63.3684
29/04/2002,63.14,63.93,63.14,63.3312
30/04/2002,63.66,63.66,62.91,63.0161
01/05/2002,63.23,63.23,61.85,61.9055
02/05/2002,62.38,62.5,61.86,62.3885
03/05/2002,62.23,62.23,61.48,61.7923
06/05/2002,62.14,62.14,61.47,61.5052
07/05/2002,61.85,62.02,61.28,61.9302
08/05/2002,61.44,62.52,61.44,62.3962
