,RIO LN Equity,,,,,,,GLEN LN Equity,,,,,,,AAL LN Equity,,,,,,,ANTO LN Equity,,,,,,,EVR LN Equity,,,,,,,BHP LN Equity,,,,,,
,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EBITDA,PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EBITDA,PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EBITDA,PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EBITDA,PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EBITDA,PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EBITDA,PE_RATIO
13/01/2000,1106.979,1130.11,1081.37,1119.371,6615978,1404.1713,23.8641,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1063.412,1113.379,1063.412,1089.293,5898369,1118,16.2025,91,93,91,93,704260,20.1981,94.6708,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2489,#N/A N/A
14/01/2000,1123.501,1125.154,1103.675,1112.762,3920917,1404.1713,23.546,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1095.442,1095.442,1082.63,1091.342,1876154,1118,16.1117,93,94,93,94,124910,20.1981,94.9741,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2489,#N/A N/A
17/01/2000,1123.501,1127.632,1100.371,1115.24,5224509,1404.1713,23.5595,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1094.161,1098.005,1085.961,1098.005,2337797,1118,16.1833,94,94.3,94,94.3,1347915,20.1981,95.1198,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2489,#N/A N/A
18/01/2000,1106.979,1112.762,1071.457,1092.936,3898654,1404.1713,23.1802,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1084.168,1084.168,1050.6,1053.418,3788621,1118,15.588,94,94.3,94,94.3,5115,20.1981,95.4987,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2489,#N/A N/A
19/01/2000,1094.588,1135.893,1083.848,1097.066,8906657,1404.1713,23.3644,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1048.037,1067.256,1044.194,1061.618,3219893,1118,15.7746,94.6,94.6,94.3,94.3,101680,20.1981,95.8951,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2489,#N/A N/A
20/01/2000,1111.11,1115.24,1061.544,1074.761,6792469,1404.1713,23.048,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1054.443,1057.775,1037.788,1045.219,2552110,1118,15.6385,94,94.2,94,94,480925,20.1981,96.2524,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2489,#N/A N/A
21/01/2000,1090.457,1090.457,1028.499,1056.587,6056625,1404.1713,22.5625,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1032.406,1040.094,1024.975,1026.769,2645199,1118,15.2975,94,94.5,94,94,1231860,20.1981,95.8457,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2489,#N/A N/A
24/01/2000,1053.283,1053.283,1026.021,1036.761,2492822,1404.1713,22.1539,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1022.669,1026.513,999.351,999.351,903466,1118,14.899,94,94,94,94,145000,20.1981,95.9096,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2489,#N/A N/A
25/01/2000,1025.195,1032.63,983.064,998.76,4616697,1404.1713,21.329,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,990.382,990.382,977.57,979.876,4342200,1118,14.5998,93,93.5,92.6,92.6,388675,20.1981,94.4239,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2489,#N/A N/A
26/01/2000,1007.847,1007.847,970.672,978.933,7371584,1404.1713,20.737,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,971.164,971.164,949.383,954.765,2559863,1118,14.1109,92,92.3,91.8,91.8,1198360,20.1981,92.8534,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2489,#N/A N/A
27/01/2000,974.803,983.064,941.759,974.803,4721915,1404.1713,20.6369,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,954.508,972.702,943.49,943.49,1903636,1118,13.9358,92,92,90.3,90.7,166950,20.1981,91.6848,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2489,#N/A N/A
28/01/2000,983.064,991.325,945.889,966.542,2287728,1404.1713,20.3244,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,930.165,935.546,899.416,900.441,2456880,1118,13.2105,91.4,91.4,89.8,89.8,23040,20.1981,90.1644,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2489,#N/A N/A
31/01/2000,958.281,964.889,904.584,954.976,5507284,1404.1713,19.9551,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,884.041,899.416,884.041,892.241,2718800,1118,13.008,90,90,86.3,86.3,382245,20.1981,86.106,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2489,#N/A N/A
01/02/2000,950.02,954.15,929.367,945.063,4063562,1404.1713,19.7051,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,919.915,938.109,895.572,922.734,675500,1118,13.4233,86,86,86,86,155500,20.1981,85.6207,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2489,#N/A N/A
02/02/2000,946.715,959.107,940.932,954.15,2512042,1404.1713,19.8649,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,935.29,948.102,922.222,922.99,1879008,1118,13.4071,86,86,86,86,2394080,20.1981,85.4931,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2489,#N/A N/A
03/02/2000,958.281,989.673,954.15,959.107,5084124,1404.1713,19.8216,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,922.478,922.478,904.541,907.359,1415487,1118,13.0833,86.4,86.4,86.2,86.2,117540,20.1981,85.0631,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2489,#N/A N/A
04/02/2000,956.628,958.281,941.759,942.585,3211939,1404.1713,19.4106,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,912.228,922.478,904.541,906.847,3512662,1118,13.0292,86.4,86.4,86,86,104805,20.1981,84.5628,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2489,#N/A N/A
07/02/2000,973.977,1003.716,958.281,967.368,5798634,1404.1713,19.9735,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,932.728,957.071,925.04,931.19,2640784,1118,13.4143,86,86,86,86,155500,20.1981,84.786,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2489,#N/A N/A
08/02/2000,974.803,980.585,929.367,942.585,5582300,1404.1713,19.6558,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,925.04,948.102,917.353,935.034,3340544,1118,13.604,86,86,85.8,86,68545,20.1981,85.6313,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2489,#N/A N/A
09/02/2000,937.628,941.759,879.801,886.41,4865071,1404.1713,18.5131,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,935.29,944.259,925.04,933.24,1375418,1118,13.5989,86,86,86,86,1482115,20.1981,85.7642,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2489,#N/A N/A
10/02/2000,896.323,896.323,838.496,845.104,6705017,1404.1713,17.5804,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,919.659,923.759,896.853,913.509,663128,1118,13.2586,86,86,84.8,84.8,116585,20.1981,84.232,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2489,#N/A N/A
11/02/2000,857.496,874.018,838.496,857.496,10236113,1404.1713,17.6528,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,922.478,925.04,876.354,889.679,2809388,1118,12.7785,85,85,84.4,84.4,89025,20.1981,82.9634,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2489,#N/A N/A
14/02/2000,878.149,878.149,834.365,846.757,3596690,1404.1713,17.4273,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,878.916,881.479,866.104,867.898,1885826,1118,12.4626,84.4,84.4,84.4,84.4,19705,20.1981,82.9425,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2489,#N/A N/A
15/02/2000,859.148,899.627,850.887,874.844,5621766,1404.1713,18.0824,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,858.417,877.635,858.417,862.773,1522248,1118,12.442,84.4,84.4,84.4,84.4,63150,20.1981,83.2973,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2489,#N/A N/A
16/02/2000,884.757,954.15,884.757,924.41,5005389,1404.1713,19.217,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,876.354,878.916,864.823,864.823,711911,1118,12.5434,84,84.2,80.8,80.8,244650,20.1981,80.2038,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2489,#N/A N/A
17/02/2000,929.367,936.802,910.367,923.584,3695397,1404.1713,19.1963,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,871.229,922.478,871.229,916.584,2763685,1118,13.2917,80.6,80.8,79.6,79.6,130890,20.1981,78.9979,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2489,#N/A N/A
18/02/2000,926.889,937.628,864.931,878.149,3787127,1404.1713,18.1769,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,916.072,916.072,877.635,882.504,707794,1118,12.7448,78.8,79.4,78.8,79.2,289680,20.1981,78.2778,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2489,#N/A N/A
21/02/2000,855.018,905.41,855.018,901.279,5788113,1404.1713,18.6662,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,868.667,884.041,849.448,849.448,2038466,1118,12.2744,79.6,79.6,79.2,79.4,122405,20.1981,78.5197,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2489,#N/A N/A
