,GBPUSD BGN Curncy,,,
,#NAME?,#NAME?,#NAME?,#NAME?
Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
#NAME?,1.6147,1.6396,1.6145,1.6362
04/01/2000,1.6358,1.6413,1.6316,1.636
05/01/2000,1.6373,1.6451,1.6352,1.6426
06/01/2000,1.6419,1.6509,1.6412,1.6474
07/01/2000,1.6477,1.6498,1.6361,1.6393
10/01/2000,1.6388,1.64,1.6335,1.6374
11/01/2000,1.6369,1.6491,1.635,1.6475
12/01/2000,1.6468,1.6508,1.6454,1.6466
13/01/2000,1.6471,1.6499,1.6412,1.6472
14/01/2000,1.6469,1.6479,1.6313,1.6313
17/01/2000,1.6346,1.6387,1.6299,1.6333
18/01/2000,1.6334,1.6397,1.6316,1.6379
19/01/2000,1.6386,1.6453,1.6366,1.645
20/01/2000,1.6443,1.657,1.6426,1.6537
21/01/2000,1.6543,1.6577,1.6484,1.6487
24/01/2000,1.6465,1.6557,1.6465,1.6531
25/01/2000,1.6538,1.6538,1.6434,1.6452
26/01/2000,1.6448,1.6468,1.6357,1.6403
27/01/2000,1.64,1.64,1.6346,1.6396
28/01/2000,1.6391,1.6392,1.6161,1.6201
31/01/2000,1.623,1.6259,1.6118,1.6162
01/02/2000,1.6157,1.6177,1.61,1.615
02/02/2000,1.6148,1.6155,1.6031,1.6088
03/02/2000,1.6085,1.6085,1.5942,1.5972
04/02/2000,1.5975,1.6022,1.5835,1.5918
07/02/2000,1.5917,1.5992,1.5888,1.598
08/02/2000,1.5977,1.6136,1.5974,1.6113
09/02/2000,1.6102,1.6173,1.6067,1.6169
10/02/2000,1.6163,1.6172,1.6053,1.6097
11/02/2000,1.6087,1.6104,1.5879,1.5936
14/02/2000,1.5927,1.5971,1.586,1.588
15/02/2000,1.5873,1.5976,1.5851,1.596
16/02/2000,1.596,1.61,1.5946,1.6077
17/02/2000,1.6072,1.6138,1.6027,1.609
18/02/2000,1.6083,1.6089,1.5955,1.6013
21/02/2000,1.5995,1.604,1.5978,1.6005
22/02/2000,1.6003,1.6193,1.6002,1.6126
23/02/2000,1.6136,1.6146,1.602,1.6039
24/02/2000,1.6042,1.606,1.5976,1.6003
25/02/2000,1.5991,1.6005,1.5887,1.5953
28/02/2000,1.5931,1.5974,1.5858,1.5958
29/02/2000,1.596,1.5995,1.5775,1.5792
01/03/2000,1.5792,1.5923,1.5756,1.5854
02/03/2000,1.5849,1.5866,1.576,1.5766
03/03/2000,1.5756,1.5845,1.5754,1.5778
06/03/2000,1.5803,1.5819,1.5714,1.5749
07/03/2000,1.5743,1.5821,1.5696,1.5804
08/03/2000,1.5813,1.5886,1.5745,1.5817
09/03/2000,1.5827,1.5848,1.5781,1.5827
10/03/2000,1.5832,1.5838,1.5754,1.5765
13/03/2000,1.5773,1.5829,1.5761,1.5792
14/03/2000,1.5786,1.5795,1.5682,1.5776
15/03/2000,1.5787,1.5787,1.5699,1.5732
16/03/2000,1.5733,1.5775,1.5692,1.5771
17/03/2000,1.5765,1.5766,1.5702,1.5748
20/03/2000,1.5753,1.5755,1.5652,1.5689
21/03/2000,1.5688,1.5774,1.5667,1.5717
22/03/2000,1.57,1.5801,1.562,1.5795
23/03/2000,1.5806,1.5901,1.5755,1.5867
24/03/2000,1.5874,1.5959,1.584,1.5941
27/03/2000,1.5926,1.6005,1.5841,1.5882
28/03/2000,1.5879,1.5904,1.5827,1.5893
29/03/2000,1.5923,1.5969,1.5817,1.5936
30/03/2000,1.5942,1.5977,1.5875,1.5948
31/03/2000,1.5947,1.5985,1.5903,1.5911
03/04/2000,1.5906,1.5993,1.5873,1.5964
04/04/2000,1.5959,1.6078,1.5926,1.5932
05/04/2000,1.5927,1.5979,1.5828,1.5847
06/04/2000,1.5847,1.589,1.5779,1.5815
07/04/2000,1.5801,1.5856,1.5771,1.5795
10/04/2000,1.5799,1.5856,1.5781,1.5855
11/04/2000,1.5852,1.5889,1.5831,1.5856
12/04/2000,1.5862,1.5893,1.5827,1.5886
13/04/2000,1.5887,1.5929,1.5859,1.5866
14/04/2000,1.5869,1.5914,1.5832,1.5868
17/04/2000,1.5892,1.591,1.58,1.5805
18/04/2000,1.5805,1.5842,1.5748,1.5771
19/04/2000,1.5769,1.5833,1.5763,1.582
20/04/2000,1.5825,1.5826,1.578,1.5793
21/04/2000,1.5798,1.5822,1.5771,1.5795
24/04/2000,1.5767,1.5818,1.5754,1.5785
25/04/2000,1.5803,1.5818,1.5734,1.5812
26/04/2000,1.5815,1.5823,1.5743,1.5756
27/04/2000,1.5765,1.5806,1.5715,1.572
28/04/2000,1.5741,1.5741,1.5506,1.5513
01/05/2000,1.5534,1.5571,1.552,1.5536
02/05/2000,1.5537,1.5666,1.5527,1.5604
03/05/2000,1.5608,1.565,1.5565,1.5611
04/05/2000,1.5616,1.5626,1.536,1.5412
05/05/2000,1.5426,1.5438,1.5252,1.5303
08/05/2000,1.5288,1.5357,1.5269,1.5332
09/05/2000,1.5328,1.5366,1.5292,1.5311
10/05/2000,1.5325,1.5337,1.5072,1.5118
11/05/2000,1.5097,1.5121,1.4933,1.5035
12/05/2000,1.5061,1.5202,1.5018,1.5202
15/05/2000,1.5224,1.523,1.5052,1.5054
16/05/2000,1.5009,1.5071,1.4923,1.4932
17/05/2000,1.4939,1.4983,1.489,1.4968
18/05/2000,1.4965,1.4966,1.4773,1.4835
19/05/2000,1.4834,1.4904,1.4753,1.487
22/05/2000,1.4863,1.4958,1.4826,1.4925
23/05/2000,1.4913,1.4938,1.4731,1.4769
24/05/2000,1.4768,1.4802,1.4686,1.4753
25/05/2000,1.4735,1.4801,1.4667,1.4702
26/05/2000,1.4708,1.4927,1.4702,1.49
29/05/2000,1.4895,1.4928,1.4865,1.4925
30/05/2000,1.493,1.5042,1.4907,1.4966
31/05/2000,1.4974,1.5018,1.4933,1.5014
01/06/2000,1.5008,1.5019,1.4898,1.4944
02/06/2000,1.4949,1.5128,1.4933,1.5098
05/06/2000,1.511,1.52,1.5078,1.5196
06/06/2000,1.5187,1.5313,1.5116,1.5284
07/06/2000,1.5279,1.529,1.5192,1.5224
08/06/2000,1.5214,1.5235,1.5062,1.5108
09/06/2000,1.5099,1.513,1.5013,1.5096
12/06/2000,1.5086,1.5143,1.5037,1.5131
13/06/2000,1.5136,1.5179,1.5065,1.5068
14/06/2000,1.5064,1.5117,1.4982,1.499
15/06/2000,1.4992,1.514,1.495,1.5121
16/06/2000,1.5112,1.5182,1.5095,1.5153
19/06/2000,1.5146,1.5169,1.5115,1.5116
20/06/2000,1.5121,1.5199,1.5052,1.5186
21/06/2000,1.5175,1.5179,1.4947,1.4986
22/06/2000,1.4993,1.5156,1.4976,1.5126
23/06/2000,1.5129,1.5136,1.4992,1.5011
26/06/2000,1.5012,1.5037,1.4967,1.4969
27/06/2000,1.4977,1.5075,1.4937,1.5073
28/06/2000,1.5069,1.5144,1.5026,1.5131
29/06/2000,1.5133,1.5206,1.5113,1.5188
30/06/2000,1.5181,1.5208,1.5103,1.5141
03/07/2000,1.5161,1.5188,1.5097,1.5135
04/07/2000,1.5139,1.5158,1.5117,1.5152
05/07/2000,1.5147,1.5164,1.5071,1.5074
06/07/2000,1.5069,1.5151,1.5063,1.5073
07/07/2000,1.5075,1.5167,1.5047,1.5139
10/07/2000,1.5138,1.5194,1.5103,1.513
11/07/2000,1.5131,1.5176,1.5115,1.5172
12/07/2000,1.517,1.5183,1.5061,1.5064
13/07/2000,1.5065,1.5073,1.4983,1.5034
14/07/2000,1.5035,1.505,1.4973,1.5006
17/07/2000,1.5006,1.5026,1.4908,1.4948
18/07/2000,1.495,1.5,1.4916,1.4977
19/07/2000,1.4979,1.4984,1.4932,1.4982
20/07/2000,1.4971,1.514,1.4914,1.5116
21/07/2000,1.5126,1.5201,1.5087,1.517
24/07/2000,1.5176,1.5214,1.513,1.5153
25/07/2000,1.5153,1.5218,1.5134,1.5166
26/07/2000,1.5159,1.5217,1.5137,1.5155
27/07/2000,1.5157,1.5172,1.5104,1.5141
28/07/2000,1.5129,1.5142,1.4992,1.5027
31/07/2000,1.5028,1.5052,1.4948,1.4997
01/08/2000,1.4998,1.5025,1.4911,1.492
02/08/2000,1.4927,1.4958,1.4872,1.4957
03/08/2000,1.4953,1.4993,1.4832,1.4977
04/08/2000,1.4976,1.5083,1.4892,1.5065
07/08/2000,1.5047,1.5143,1.5005,1.5136
08/08/2000,1.5121,1.513,1.501,1.505
09/08/2000,1.5047,1.5053,1.4986,1.502
10/08/2000,1.5028,1.5037,1.4952,1.4976
11/08/2000,1.4978,1.5081,1.4969,1.5015
14/08/2000,1.5023,1.5112,1.5003,1.5055
15/08/2000,1.5057,1.5141,1.5029,1.5043
16/08/2000,1.5043,1.5069,1.4978,1.5005
17/08/2000,1.5003,1.5017,1.497,1.4977
18/08/2000,1.498,1.499,1.4882,1.4895
21/08/2000,1.4905,1.4935,1.4863,1.4872
22/08/2000,1.4884,1.489,1.4787,1.4816
23/08/2000,1.4827,1.4873,1.4765,1.4873
24/08/2000,1.4856,1.4864,1.4774,1.4813
25/08/2000,1.4812,1.4822,1.4688,1.4692
28/08/2000,1.4709,1.4733,1.4686,1.4692
29/08/2000,1.4695,1.4717,1.4557,1.4561
30/08/2000,1.4557,1.4598,1.4424,1.4598
31/08/2000,1.4592,1.4594,1.4461,1.4473
01/09/2000,1.4471,1.4647,1.4467,1.4642
04/09/2000,1.4628,1.4658,1.4573,1.458
05/09/2000,1.4579,1.4586,1.4481,1.4548
06/09/2000,1.4545,1.4554,1.4366,1.4367
07/09/2000,1.4374,1.4408,1.4318,1.438
08/09/2000,1.4394,1.4395,1.4142,1.4151
11/09/2000,1.414,1.4227,1.4021,1.4024
12/09/2000,1.4022,1.4148,1.3954,1.4066
13/09/2000,1.4064,1.413,1.4037,1.4094
14/09/2000,1.4097,1.4192,1.4033,1.4074
15/09/2000,1.4067,1.4136,1.3971,1.3977
18/09/2000,1.3988,1.4066,1.3962,1.4063
19/09/2000,1.406,1.4123,1.4005,1.4091
20/09/2000,1.4097,1.4182,1.4061,1.4105
21/09/2000,1.4116,1.4387,1.4096,1.4375
22/09/2000,1.4383,1.4537,1.4363,1.4537
25/09/2000,1.4567,1.4645,1.4503,1.4526
26/09/2000,1.4528,1.4641,1.4512,1.4638
27/09/2000,1.4632,1.4675,1.4577,1.4645
28/09/2000,1.464,1.4675,1.4603,1.4623
29/09/2000,1.4627,1.4806,1.4616,1.4754
02/10/2000,1.4763,1.4775,1.465,1.4662
03/10/2000,1.4663,1.468,1.456,1.4596
04/10/2000,1.4587,1.4609,1.4527,1.4597
05/10/2000,1.4581,1.4597,1.4434,1.4439
06/10/2000,1.4436,1.4515,1.4424,1.4459
09/10/2000,1.4472,1.4498,1.4456,1.4487
10/10/2000,1.4492,1.4579,1.4475,1.4546
11/10/2000,1.4547,1.4658,1.4547,1.4628
12/10/2000,1.4608,1.4752,1.4588,1.4714
13/10/2000,1.4712,1.4799,1.4497,1.4498
16/10/2000,1.4518,1.4545,1.4425,1.4477
17/10/2000,1.4469,1.4514,1.4346,1.4503
18/10/2000,1.4503,1.4609,1.4382,1.4436
19/10/2000,1.444,1.4482,1.4397,1.4464
20/10/2000,1.4461,1.4515,1.4425,1.4512
23/10/2000,1.4529,1.458,1.4497,1.4537
24/10/2000,1.454,1.4558,1.4475,1.45
25/10/2000,1.4497,1.4517,1.4308,1.432
26/10/2000,1.4317,1.4382,1.4317,1.4364
27/10/2000,1.4363,1.4558,1.4323,1.455
30/10/2000,1.4546,1.4546,1.4456,1.4493
31/10/2000,1.4493,1.455,1.445,1.4477
01/11/2000,1.4477,1.4569,1.4423,1.4516
02/11/2000,1.4516,1.4552,1.4433,1.4433
03/11/2000,1.4432,1.4554,1.44,1.4485
06/11/2000,1.4493,1.4518,1.4252,1.4271
07/11/2000,1.4266,1.4351,1.4243,1.4333
08/11/2000,1.4333,1.4366,1.4186,1.4232
09/11/2000,1.4233,1.4344,1.4133,1.4333
10/11/2000,1.4333,1.4354,1.4241,1.4254
13/11/2000,1.427,1.4411,1.4254,1.4379
14/11/2000,1.4374,1.4424,1.4264,1.4307
15/11/2000,1.4303,1.4338,1.423,1.4269
16/11/2000,1.4268,1.4284,1.4209,1.4255
17/11/2000,1.4255,1.426,1.4211,1.4227
20/11/2000,1.4221,1.4275,1.4204,1.424
21/11/2000,1.4231,1.4293,1.4151,1.418
22/11/2000,1.418,1.4218,1.4058,1.4072
23/11/2000,1.4072,1.4093,1.398,1.3997
24/11/2000,1.4001,1.4075,1.3964,1.3994
27/11/2000,1.4002,1.4192,1.4001,1.4176
28/11/2000,1.4175,1.423,1.4143,1.4178
29/11/2000,1.4178,1.4264,1.4162,1.4222
30/11/2000,1.4225,1.4271,1.4149,1.4251
01/12/2000,1.4247,1.4448,1.4235,1.4423
04/12/2000,1.4406,1.4553,1.4379,1.4516
05/12/2000,1.451,1.4527,1.4309,1.4321
06/12/2000,1.4328,1.4447,1.4311,1.4439
07/12/2000,1.4441,1.4495,1.4367,1.4448
08/12/2000,1.4445,1.4525,1.4428,1.4518
11/12/2000,1.4463,1.4583,1.4433,1.4568
12/12/2000,1.4566,1.4579,1.4448,1.4486
13/12/2000,1.4485,1.4565,1.4441,1.4561
14/12/2000,1.4563,1.4741,1.4542,1.4733
15/12/2000,1.4729,1.4776,1.4686,1.4757
18/12/2000,1.4736,1.4789,1.465,1.4758
19/12/2000,1.4757,1.4764,1.461,1.4694
20/12/2000,1.4693,1.4798,1.4651,1.4762
21/12/2000,1.4764,1.484,1.4667,1.4735
22/12/2000,1.4741,1.4838,1.4706,1.4765
25/12/2000,1.4769,1.4809,1.4741,1.4797
26/12/2000,1.4773,1.4848,1.4759,1.4829
27/12/2000,1.4832,1.4982,1.4828,1.4965
28/12/2000,1.497,1.4984,1.4867,1.4932
29/12/2000,1.4924,1.4965,1.4869,1.493
01/01/2001,1.4932,1.4964,1.4929,1.4959
02/01/2001,1.4962,1.5039,1.4886,1.5026
03/01/2001,1.5027,1.5093,1.4883,1.4894
04/01/2001,1.4908,1.5037,1.4885,1.5009
05/01/2001,1.501,1.5077,1.4954,1.5038
08/01/2001,1.5038,1.51,1.4934,1.496
09/01/2001,1.4955,1.4985,1.4875,1.4884
10/01/2001,1.488,1.4945,1.4857,1.4867
11/01/2001,1.4868,1.5008,1.4865,1.4988
12/01/2001,1.4976,1.503,1.476,1.4786
15/01/2001,1.4786,1.4802,1.4712,1.4773
16/01/2001,1.4773,1.479,1.4667,1.472
17/01/2001,1.4726,1.4758,1.4691,1.4734
18/01/2001,1.4737,1.4769,1.4693,1.4727
19/01/2001,1.4733,1.4764,1.4627,1.4628
22/01/2001,1.4639,1.467,1.4639,1.4654
23/01/2001,1.4657,1.4738,1.4644,1.4687
24/01/2001,1.4684,1.4687,1.4525,1.4546
25/01/2001,1.4538,1.463,1.4538,1.4592
26/01/2001,1.4603,1.4686,1.4548,1.4554
29/01/2001,1.4613,1.464,1.4558,1.4581
30/01/2001,1.4581,1.464,1.4556,1.4625
31/01/2001,1.4628,1.465,1.4571,1.4646
01/02/2001,1.4646,1.4824,1.4632,1.4776
02/02/2001,1.4779,1.4834,1.4648,1.4707
05/02/2001,1.4688,1.4779,1.4683,1.4741
06/02/2001,1.4757,1.4757,1.4573,1.4598
07/02/2001,1.4597,1.4646,1.4504,1.4517
08/02/2001,1.4532,1.455,1.442,1.4445
09/02/2001,1.4451,1.4498,1.4446,1.4446
12/02/2001,1.4456,1.455,1.4447,1.4525
13/02/2001,1.4525,1.4575,1.4482,1.4523
14/02/2001,1.4523,1.4611,1.4507,1.4545
15/02/2001,1.4539,1.4601,1.4454,1.4488
16/02/2001,1.4488,1.4576,1.4442,1.4483
19/02/2001,1.4472,1.4547,1.4429,1.4477
20/02/2001,1.4471,1.4481,1.4468,1.4468
21/02/2001,1.4464,1.4476,1.4379,1.4423
22/02/2001,1.4426,1.4517,1.4394,1.4465
23/02/2001,1.4453,1.4558,1.4424,1.455
26/02/2001,1.4538,1.4568,1.4405,1.4448
27/02/2001,1.4445,1.4475,1.4393,1.4442
28/02/2001,1.4437,1.4502,1.4399,1.4455
01/03/2001,1.4451,1.458,1.4445,1.4555
02/03/2001,1.4546,1.4761,1.4541,1.4681
05/03/2001,1.4688,1.4727,1.466,1.4667
06/03/2001,1.4666,1.4687,1.4636,1.4666
07/03/2001,1.4666,1.4725,1.4575,1.4616
08/03/2001,1.4613,1.4703,1.4596,1.4695
09/03/2001,1.4693,1.4749,1.4619,1.4698
12/03/2001,1.4672,1.4699,1.4621,1.465
13/03/2001,1.4642,1.4654,1.4476,1.45
14/03/2001,1.4495,1.4575,1.4436,1.4457
15/03/2001,1.4453,1.4495,1.4341,1.4355
16/03/2001,1.4354,1.4382,1.4251,1.4318
19/03/2001,1.4313,1.4336,1.4214,1.4245
20/03/2001,1.4256,1.436,1.4233,1.4358
21/03/2001,1.4363,1.4392,1.4257,1.4312
22/03/2001,1.4307,1.4311,1.4182,1.4216
23/03/2001,1.4216,1.4312,1.4195,1.425
26/03/2001,1.4276,1.4354,1.4254,1.435
27/03/2001,1.4345,1.4384,1.4282,1.4346
28/03/2001,1.4343,1.4384,1.4278,1.438
29/03/2001,1.4379,1.4422,1.4259,1.4263
30/03/2001,1.4261,1.4295,1.4153,1.4161
02/04/2001,1.4146,1.4233,1.4141,1.4187
03/04/2001,1.4187,1.4343,1.4183,1.433
04/04/2001,1.4332,1.4365,1.4297,1.4331
05/04/2001,1.4323,1.4398,1.4245,1.4275
06/04/2001,1.4281,1.4413,1.4257,1.44
09/04/2001,1.4402,1.4445,1.4379,1.4445
10/04/2001,1.4443,1.4464,1.4303,1.4324
11/04/2001,1.4327,1.4385,1.4271,1.4366
12/04/2001,1.4365,1.4414,1.4324,1.4395
13/04/2001,1.4393,1.4399,1.4348,1.4389
16/04/2001,1.4363,1.438,1.4324,1.4372
17/04/2001,1.4373,1.4426,1.4269,1.4323
18/04/2001,1.4319,1.4336,1.4278,1.4278
19/04/2001,1.4276,1.4472,1.4257,1.4467
20/04/2001,1.447,1.4483,1.4371,1.4412
23/04/2001,1.4421,1.4476,1.4363,1.4372
24/04/2001,1.4376,1.4433,1.4338,1.4342
25/04/2001,1.4343,1.442,1.4314,1.4412
26/04/2001,1.4416,1.443,1.436,1.4418
27/04/2001,1.4396,1.4438,1.4328,1.4367
30/04/2001,1.4351,1.4373,1.4273,1.432
01/05/2001,1.4332,1.4365,1.4267,1.4345
02/05/2001,1.4353,1.4381,1.4293,1.4341
03/05/2001,1.4336,1.4378,1.4303,1.4356
04/05/2001,1.4359,1.4441,1.4328,1.4393
07/05/2001,1.4378,1.4415,1.4351,1.4387
08/05/2001,1.4386,1.439,1.4243,1.4264
09/05/2001,1.4261,1.429,1.4181,1.4219
10/05/2001,1.4227,1.4344,1.4185,1.4221
11/05/2001,1.423,1.4359,1.4136,1.419
14/05/2001,1.4197,1.4207,1.4156,1.42
15/05/2001,1.4194,1.4252,1.4164,1.4245
16/05/2001,1.4244,1.4318,1.4209,1.4308
17/05/2001,1.4305,1.4332,1.4271,1.432
18/05/2001,1.4325,1.4397,1.4268,1.4395
21/05/2001,1.4392,1.4416,1.4352,1.4403
22/05/2001,1.4399,1.4404,1.4237,1.4275
23/05/2001,1.428,1.4292,1.4174,1.4193
24/05/2001,1.4196,1.4198,1.4073,1.408
25/05/2001,1.4079,1.4238,1.4075,1.4225
28/05/2001,1.4223,1.4232,1.4187,1.4202
29/05/2001,1.4203,1.424,1.4153,1.4233
30/05/2001,1.4238,1.428,1.4195,1.4261
31/05/2001,1.4264,1.4272,1.4162,1.4184
01/06/2001,1.4185,1.4216,1.4121,1.4184
04/06/2001,1.4188,1.4214,1.4113,1.4143
05/06/2001,1.414,1.4147,1.4066,1.4138
06/06/2001,1.4142,1.4149,1.3892,1.3926
07/06/2001,1.3923,1.3936,1.3795,1.3927
08/06/2001,1.3928,1.3941,1.3774,1.3784
11/06/2001,1.3824,1.3878,1.3718,1.3727
12/06/2001,1.3725,1.3797,1.3682,1.3746
13/06/2001,1.3744,1.3924,1.3714,1.392
14/06/2001,1.3917,1.4024,1.3877,1.4014
15/06/2001,1.4014,1.4106,1.3989,1.4031
18/06/2001,1.4043,1.4079,1.4005,1.4047
19/06/2001,1.4048,1.4048,1.3937,1.4013
20/06/2001,1.4011,1.402,1.3907,1.3957
21/06/2001,1.3956,1.4185,1.3952,1.4154
22/06/2001,1.4154,1.4193,1.4086,1.4132
25/06/2001,1.4122,1.4176,1.4114,1.413
26/06/2001,1.4127,1.4173,1.4104,1.4152
27/06/2001,1.4165,1.4227,1.4122,1.4173
28/06/2001,1.4172,1.4196,1.4061,1.4088
29/06/2001,1.4088,1.4167,1.403,1.4153
02/07/2001,1.4164,1.4181,1.4102,1.4176
03/07/2001,1.4177,1.4178,1.4049,1.4074
04/07/2001,1.4077,1.4088,1.402,1.407
05/07/2001,1.4073,1.4081,1.3987,1.4028
06/07/2001,1.403,1.4126,1.3966,1.4118
09/07/2001,1.4116,1.4126,1.4052,1.4085
10/07/2001,1.4085,1.4131,1.4078,1.412
11/07/2001,1.4119,1.4119,1.4071,1.4078
12/07/2001,1.4079,1.4097,1.4039,1.4076
13/07/2001,1.4075,1.4079,1.3981,1.4037
16/07/2001,1.404,1.404,1.3981,1.3995
17/07/2001,1.3996,1.4063,1.3996,1.4012
18/07/2001,1.4013,1.4223,1.3996,1.4215
19/07/2001,1.4216,1.4318,1.4141,1.4283
20/07/2001,1.4284,1.435,1.4264,1.4277
23/07/2001,1.4246,1.4257,1.4176,1.4202
24/07/2001,1.4204,1.4257,1.4156,1.4211
25/07/2001,1.4213,1.4297,1.4189,1.4283
26/07/2001,1.4282,1.4312,1.4252,1.4278
27/07/2001,1.4277,1.4301,1.4227,1.4236
30/07/2001,1.4226,1.4275,1.4209,1.4262
31/07/2001,1.4262,1.4302,1.4234,1.4252
01/08/2001,1.425,1.4351,1.4246,1.4339
02/08/2001,1.4339,1.4355,1.4278,1.4315
03/08/2001,1.4319,1.4322,1.4253,1.4293
06/08/2001,1.4286,1.429,1.4171,1.4183
07/08/2001,1.4183,1.4194,1.4126,1.416
08/08/2001,1.4162,1.4188,1.4129,1.417
09/08/2001,1.417,1.4288,1.4134,1.4254
10/08/2001,1.4253,1.4281,1.4231,1.4232
13/08/2001,1.4237,1.4274,1.4192,1.4193
14/08/2001,1.4197,1.4301,1.4167,1.4289
15/08/2001,1.4291,1.4416,1.4279,1.4409
16/08/2001,1.4407,1.4444,1.4395,1.4444
17/08/2001,1.4447,1.4489,1.4399,1.4451
20/08/2001,1.4455,1.4474,1.443,1.4438
21/08/2001,1.444,1.4557,1.4433,1.4552
22/08/2001,1.4552,1.4588,1.4478,1.4488
23/08/2001,1.4492,1.4495,1.4437,1.4472
24/08/2001,1.4473,1.4484,1.4409,1.443
27/08/2001,1.4433,1.4457,1.4408,1.4435
28/08/2001,1.4434,1.4537,1.438,1.4533
29/08/2001,1.4534,1.4571,1.4496,1.4513
30/08/2001,1.4514,1.4607,1.4482,1.4576
31/08/2001,1.4574,1.4623,1.4499,1.4539
03/09/2001,1.4533,1.4564,1.451,1.454
04/09/2001,1.454,1.4548,1.4412,1.4448
05/09/2001,1.4446,1.4588,1.4407,1.4575
06/09/2001,1.4571,1.4581,1.4462,1.4572
07/09/2001,1.4569,1.4633,1.45,1.4616
10/09/2001,1.4611,1.4679,1.4567,1.4568
11/09/2001,1.4569,1.4771,1.4534,1.4763
12/09/2001,1.4764,1.4779,1.4623,1.4677
13/09/2001,1.4676,1.4732,1.4653,1.4716
14/09/2001,1.4679,1.4682,1.4662,1.4682
17/09/2001,1.4721,1.4768,1.4625,1.4655
18/09/2001,1.4656,1.4714,1.46,1.468
19/09/2001,1.4678,1.4724,1.4621,1.4685
20/09/2001,1.4683,1.4692,1.4629,1.4662
21/09/2001,1.466,1.4664,1.4517,1.4567
24/09/2001,1.4557,1.4663,1.4532,1.4635
25/09/2001,1.4637,1.4717,1.4603,1.4702
26/09/2001,1.47,1.4768,1.47,1.4751
27/09/2001,1.4758,1.4767,1.4712,1.4744
28/09/2001,1.4743,1.4748,1.4658,1.4744
01/10/2001,1.4718,1.4813,1.4702,1.4792
02/10/2001,1.4792,1.4809,1.4621,1.4691
03/10/2001,1.4691,1.4792,1.4667,1.4777
04/10/2001,1.4776,1.4788,1.47,1.476
05/10/2001,1.4757,1.4844,1.4743,1.4842
08/10/2001,1.483,1.4835,1.4712,1.4744
09/10/2001,1.4747,1.4747,1.4557,1.4581
10/10/2001,1.4581,1.4601,1.4486,1.4515
11/10/2001,1.4514,1.4528,1.4403,1.4446
12/10/2001,1.4447,1.4538,1.4444,1.453
15/10/2001,1.4512,1.4541,1.4466,1.4494
16/10/2001,1.4487,1.4504,1.4428,1.449
17/10/2001,1.4488,1.4521,1.4439,1.447
18/10/2001,1.4465,1.4501,1.4419,1.444
19/10/2001,1.4441,1.4442,1.4323,1.433
22/10/2001,1.4345,1.4352,1.421,1.4253
23/10/2001,1.4253,1.4266,1.4197,1.4258
24/10/2001,1.4257,1.4305,1.4223,1.4289
25/10/2001,1.4286,1.4329,1.4233,1.4268
26/10/2001,1.4269,1.4376,1.4245,1.4366
29/10/2001,1.4365,1.4561,1.4344,1.4558
30/10/2001,1.4557,1.4598,1.4504,1.4515
31/10/2001,1.4515,1.4571,1.4503,1.4545
01/11/2001,1.4546,1.468,1.4526,1.4637
02/11/2001,1.4635,1.4663,1.4593,1.4628
05/11/2001,1.4618,1.4628,1.4513,1.4588
06/11/2001,1.4586,1.4612,1.4562,1.4573
07/11/2001,1.4574,1.4672,1.4568,1.4637
08/11/2001,1.4633,1.4661,1.4525,1.4543
09/11/2001,1.4542,1.4592,1.4478,1.4562
12/11/2001,1.4563,1.4619,1.4514,1.4542
13/11/2001,1.4536,1.4554,1.44,1.4413
14/11/2001,1.4411,1.446,1.4352,1.4417
15/11/2001,1.4415,1.4427,1.4307,1.4321
16/11/2001,1.432,1.4364,1.425,1.4268
19/11/2001,1.4283,1.4284,1.4088,1.4132
20/11/2001,1.4129,1.4219,1.4121,1.4198
21/11/2001,1.4197,1.421,1.4124,1.4167
22/11/2001,1.4166,1.418,1.4106,1.4108
23/11/2001,1.4107,1.4166,1.4095,1.4095
26/11/2001,1.4105,1.4205,1.4101,1.4122
27/11/2001,1.4121,1.4167,1.415,1.415
28/11/2001,1.4149,1.4264,1.4136,1.4263
29/11/2001,1.4258,1.4285,1.4211,1.4265
30/11/2001,1.4267,1.4297,1.4222,1.4241
03/12/2001,1.4236,1.4263,1.4189,1.4246
04/12/2001,1.4246,1.4253,1.4203,1.4233
05/12/2001,1.4229,1.4243,1.414,1.4165
06/12/2001,1.4164,1.4297,1.4149,1.4286
07/12/2001,1.4286,1.4341,1.424,1.4338
10/12/2001,1.4322,1.436,1.4274,1.4352
11/12/2001,1.4357,1.4401,1.4311,1.4385
12/12/2001,1.4383,1.4479,1.4379,1.4468
13/12/2001,1.4464,1.4489,1.4395,1.4409
14/12/2001,1.4408,1.4567,1.4397,1.4543
17/12/2001,1.4532,1.461,1.4525,1.4592
18/12/2001,1.4596,1.4609,1.4538,1.4577
19/12/2001,1.4574,1.4577,1.4467,1.4505
20/12/2001,1.4505,1.4516,1.4426,1.4486
21/12/2001,1.4487,1.4531,1.4345,1.4411
24/12/2001,1.4402,1.4438,1.4331,1.4424
25/12/2001,1.4417,1.4459,1.4384,1.4434
26/12/2001,1.4434,1.4552,1.4398,1.4524
27/12/2001,1.4527,1.4554,1.4443,1.451
28/12/2001,1.4509,1.4519,1.4442,1.4513
31/12/2001,1.4502,1.4565,1.4477,1.4546
01/01/2002,1.4545,1.4562,1.4477,1.4534
