,Date,EBITDA,CL1_COMB_Comodity_PX_LAST,LMAHDS03_LME_Comdty_PX_LAST,LMPBDS03_LME_Comdty_PX_LAST,LMSNDS03_LME_Comdty_PX_LAST,LMCADS03_LME_Comdty_PX_LAST,LMNIDS03_LME_Comdty_PX_LAST,LMCODY_LME_Comdty_PX_LAST,LTBMPRIN_Index_PX_LAST,Inflation Rate,Unemployment Rate,SPX500 Index PX_LAST,SPX500 Index PX_VOLUME,F3METL_PX_LAST,F3METL_PX_VOLUME,GUKG10 Index PX_LAST,BCOMIN_PX_LAST,UK_GDP growth,China_GDP growth,Japan_GDP growth,USA_GDP growth,Shipping costs_Shipping costs
10,2004-12-31,855.0,43.45,1958.0,1004.0,7765.0,1644.22168,7764.38037,39125.0,100.0,1.7,4.7,1211.92,675497978.0,8170.9,12837619.0,4.537,103.9563,0.3,2.4,-0.8,4.2,998.2346
11,2005-06-30,802.6,56.5,1719.5,880.0,7300.0,1852.32727,8142.6499,39125.0,100.0,2.0,4.77,1191.33,1419204353.0,6795.6,140075627.0,4.173,100.7378,1.0,2.4,3.2,2.0,998.2346
12,2006-01-02,838.8,61.04,2277.0,1051.0,6500.0,2557.16528,7854.77393,39125.0,100.0,1.9,5.03,1248.29,866792007.0,9546.2,12350853.0,4.1,134.3885,0.5,2.4,0.6,5.5,998.2346
13,2006-06-30,1370.7,73.93,2630.0,1015.0,8100.0,3963.39819,11559.91113,39125.0,100.0,2.5,5.4,1270.2,1853049223.0,14772.4,15405278.0,4.71,195.4873,0.3,2.4,0.7,1.0,998.2346
14,2007-01-01,1590.0,61.05,2803.0,1665.0,11510.0,3234.70801,17029.48633,39125.0,100.0,3.0,5.47,1418.3,796441021.0,17167.0,703024.0,4.741,220.7889,0.8,2.4,2.7,1.2,998.2346
15,2007-07-02,1469.5,70.68,2725.0,2660.0,13900.0,3766.62842,18035.97266,39125.0,100.0,2.4,5.43,1519.43,1090158024.0,0.0,9594662.0,5.42,235.3908,0.7,2.4,-2.2,2.4,998.2346
16,2007-12-31,1314.7,95.98,2409.0,2550.0,16425.0,3366.62134,13264.74023,39125.0,100.0,2.1,5.2,1468.36,848893338.0,7445.2,1514049.0,4.508,190.1941,0.4,2.4,1.7,2.5,998.2346
17,2008-06-30,1722.5,140.0,3114.0,1790.0,23450.0,4274.66357,11025.71875,39125.0,100.0,3.8,5.3,1280.0,1354262493.0,8751.0,7350599.0,5.13,216.2556,-0.5,2.4,-2.3,2.3,998.2346
18,2008-12-31,53.9,44.6,1540.0,999.0,10700.0,2106.34644,8027.44434,39125.0,100.0,3.1,6.2,903.25,1016421975.0,1201.02,306519.0,3.02,96.9222,-2.0,2.4,-9.5,-8.5,998.2346
19,2009-06-30,598.1,69.89,1630.0,1690.0,14150.0,3016.88525,9338.55664,39125.0,103.55,1.8,7.57,919.32,1138134185.0,3888.21,1308883.0,3.69,124.0901,-0.3,2.4,8.1,-0.7,998.2346
